foot,track_modulus,rail_section,elasticity,tie_spacing,tie_width,tie_thickness,tie_length,tie_plate_width,tie_plate_length,allowable_bending_stress,allowable_rail/tie_bearing_stress,allowable_tie/basslat_bearing_stress,actual_ballast_thickness,allowable_ballast/subgrade_stress,longitude,latitude
7,530,115,30000000,19.5,72,7,102,8,14,21412.34584,200,75,22,25,1247,73.1
7.1,530,115,30000000,19.5,78,7,102,8,14,21412.34584,200,75,22,25,1247.2,73.57142857
7.2,530,115,30000000,19.5,96,7,102,8,14,21412.34584,200,75,22,25,1247.4,74.04285714
7.3,530,115,30000000,19.5,19.5,7,102,8,14,25694.815,200,75,22,25,1247.6,74.51428571
7.4,530,115,30000000,19.5,24,7,102,8,14,25694.815,200,75,22,25,1247.8,74.98571429
7.5,530,115,30000000,19.5,39,7,102,8,14,25694.815,200,75,22,25,1248,75.45714286
7.6,530,115,30000000,19.5,48,7,102,8,14,25694.815,200,75,22,25,1248.2,75.92857143
7.7,530,115,30000000,19.5,58.5,7,102,8,14,25694.815,200,75,22,25,1248.4,76.4
7.8,530,115,30000000,19.5,72,7,102,8,14,25694.815,200,75,22,25,1248.6,76.87142857
7.9,530,115,30000000,19.5,78,7,102,8,14,25694.815,200,75,22,25,1248.8,77.34285714
8,530,115,30000000,19.5,96,7,102,8,14,25694.815,200,75,22,25,1249,77.81428571
8.1,530,115,30000000,19.5,19.5,7,102,8,14,29977.28417,200,75,22,25,1249.2,78.28571429
8.2,530,115,30000000,19.5,24,7,102,8,14,29977.28417,200,75,22,25,1249.4,78.75714286
8.3,530,115,30000000,19.5,39,7,102,8,14,29977.28417,200,75,22,25,1249.6,79.22857143
8.4,530,115,30000000,19.5,48,7,102,8,14,29977.28417,200,75,22,25,1249.8,79.7
8.5,530,115,30000000,19.5,58.5,7,102,8,14,29977.28417,200,75,22,25,1250,80.17142857
8.6,530,115,30000000,19.5,72,7,102,8,14,29977.28417,200,75,22,25,1250.2,80.64285714
8.7,530,115,30000000,19.5,78,7,102,8,14,29977.28417,200,75,22,25,1250.4,81.11428571
8.8,530,115,30000000,19.5,96,7,102,8,14,29977.28417,200,75,22,25,1250.6,81.58571429
8.9,530,115,30000000,19.5,19.5,7,102,8,14,34259.75334,200,75,22,25,1250.8,82.05714286
9,530,115,30000000,19.5,24,7,102,8,14,34259.75334,200,75,22,25,1251,82.52857143
9.1,530,115,30000000,19.5,39,7,102,8,14,34259.75334,200,75,22,25,1251.2,83
9.2,530,115,30000000,19.5,48,7,102,8,14,34259.75334,200,75,22,25,1251.4,83.47142857
9.3,530,115,30000000,19.5,58.5,7,102,8,14,34259.75334,200,75,22,25,1251.6,83.94285714
9.4,530,115,30000000,19.5,72,7,102,8,14,34259.75334,200,75,22,25,1251.8,84.41428571
9.5,530,115,30000000,19.5,78,7,102,8,14,34259.75334,200,75,22,25,1252,84.88571429
9.6,530,115,30000000,19.5,96,7,102,8,14,34259.75334,200,75,22,25,1252.2,85.35714286
9.7,530,115,30000000,19.5,19.5,7,102,8,14,38542.2225,200,75,22,25,1252.4,85.82857143
9.8,530,115,30000000,19.5,24,7,102,8,14,38542.2225,200,75,22,25,1252.6,86.3
9.9,530,115,30000000,19.5,39,7,102,8,14,38542.2225,200,75,22,25,1252.8,86.77142857
10,530,115,30000000,19.5,48,7,102,8,14,38542.2225,200,75,22,25,1253,87.24285714
10.1,530,115,30000000,19.5,58.5,7,102,8,14,38542.2225,200,75,22,25,1253.2,87.71428571
10.2,530,115,30000000,19.5,72,7,102,8,14,38542.2225,200,75,22,25,1253.4,88.18571429
10.3,530,115,30000000,19.5,78,7,102,8,14,38542.2225,200,75,22,25,1253.6,88.65714286
10.4,530,115,30000000,19.5,96,7,102,8,14,38542.2225,200,75,22,25,1253.8,89.12857143
10.5,530,115,30000000,19.5,19.5,7,102,8,14,42824.69167,200,75,22,25,1254,89.6
10.6,530,115,30000000,19.5,24,7,102,8,14,42824.69167,200,75,22,25,1254.2,90.07142857
10.7,530,115,30000000,19.5,39,7,102,8,14,42824.69167,200,75,22,25,1254.4,90.54285714
10.8,530,115,30000000,19.5,48,7,102,8,14,42824.69167,200,75,22,25,1254.6,91.01428571
10.9,530,115,30000000,19.5,58.5,7,102,8,14,42824.69167,200,75,22,25,1254.8,91.48571429
11,530,115,30000000,19.5,72,7,102,8,14,42824.69167,200,75,22,25,1255,91.95714286
11.1,530,115,30000000,19.5,78,7,102,8,14,42824.69167,200,75,22,25,1255.2,92.42857143
11.2,530,115,30000000,19.5,96,7,102,8,14,42824.69167,200,75,22,25,1255.4,92.9
11.3,530,115,30000000,19.5,19.5,7,102,8,14,47107.16084,200,75,22,25,1255.6,93.37142857
11.4,530,115,30000000,19.5,24,7,102,8,14,47107.16084,200,75,22,25,1255.8,93.84285714
11.5,530,115,30000000,19.5,39,7,102,8,14,47107.16084,200,75,22,25,1256,94.31428571
11.6,530,115,30000000,19.5,48,7,102,8,14,47107.16084,200,75,22,25,1256.2,94.78571429
11.7,530,115,30000000,19.5,58.5,7,102,8,14,47107.16084,200,75,22,25,1256.4,95.25714286
11.8,530,115,30000000,19.5,72,7,102,8,14,47107.16084,200,75,22,25,1256.6,95.72857143
11.9,530,115,30000000,19.5,78,7,102,8,14,47107.16084,200,75,22,25,1256.8,96.2
12,530,115,30000000,19.5,96,7,102,8,14,47107.16084,200,75,22,25,1257,96.67142857
12.1,530,115,30000000,19.5,19.5,7,102,8,14,51389.63001,200,75,22,25,1257.2,97.14285714
12.2,530,115,30000000,19.5,24,7,102,8,14,51389.63001,200,75,22,25,1257.4,97.61428571
12.3,530,115,30000000,19.5,39,7,102,8,14,51389.63001,200,75,22,25,1257.6,98.08571429
12.4,530,115,30000000,19.5,48,7,102,8,14,51389.63001,200,75,22,25,1257.8,98.55714286
12.5,530,115,30000000,19.5,58.5,7,102,8,14,51389.63001,200,75,22,25,1258,99.02857143
12.6,530,115,30000000,19.5,72,7,102,8,14,51389.63001,200,75,22,25,1258.2,99.5
12.7,530,115,30000000,19.5,78,7,102,8,14,51389.63001,200,75,22,25,1258.4,99.97142857
12.8,530,115,30000000,19.5,96,7,102,8,14,51389.63001,200,75,22,25,1258.6,100.4428571
12.9,530,115,30000000,19.5,19.5,7,102,8,14,22228.28973,200,75,22,25,1258.8,100.9142857
13,530,115,30000000,19.5,24,7,102,8,14,22228.28973,200,75,22,25,1259,101.3857143
13.1,530,115,30000000,19.5,39,7,102,8,14,22228.28973,200,75,22,25,1259.2,101.8571429
13.2,530,115,30000000,19.5,48,7,102,8,14,22228.28973,200,75,22,25,1259.4,102.3285714
13.3,530,115,30000000,19.5,58.5,7,102,8,14,22228.28973,200,75,22,25,1259.6,102.8
13.4,530,115,30000000,19.5,72,7,102,8,14,22228.28973,200,75,22,25,1259.8,103.2714286
13.5,530,115,30000000,19.5,78,7,102,8,14,22228.28973,200,75,22,25,1260,103.7428571
13.6,530,115,30000000,19.5,96,7,102,8,14,22228.28973,200,75,22,25,1260.2,104.2142857
13.7,530,115,30000000,19.5,19.5,7,102,8,14,26673.94768,200,75,22,25,1260.4,104.6857143
13.8,530,115,30000000,19.5,24,7,102,8,14,26673.94768,200,75,22,25,1260.6,105.1571429
13.9,530,115,30000000,19.5,39,7,102,8,14,26673.94768,200,75,22,25,1260.8,105.6285714
14,530,115,30000000,19.5,48,7,102,8,14,26673.94768,200,75,22,25,1261,106.1
14.1,530,115,30000000,19.5,58.5,7,102,8,14,26673.94768,200,75,22,25,1261.2,106.5714286
14.2,530,115,30000000,19.5,72,7,102,8,14,26673.94768,200,75,22,25,1261.4,107.0428571
14.3,530,115,30000000,19.5,78,7,102,8,14,26673.94768,200,75,22,25,1261.6,107.5142857
14.4,530,115,30000000,19.5,96,7,102,8,14,26673.94768,200,75,22,25,1261.8,107.9857143
14.5,530,115,30000000,19.5,19.5,7,102,8,14,31119.60562,200,75,22,25,1262,108.4571429
14.6,530,115,30000000,19.5,24,7,102,8,14,31119.60562,200,75,22,25,1262.2,108.9285714
14.7,530,115,30000000,19.5,39,7,102,8,14,31119.60562,200,75,22,25,1262.4,109.4
14.8,530,115,30000000,19.5,48,7,102,8,14,31119.60562,200,75,22,25,1262.6,109.8714286
14.9,530,115,30000000,19.5,58.5,7,102,8,14,31119.60562,200,75,22,25,1262.8,110.3428571
15,530,115,30000000,19.5,72,7,102,8,14,31119.60562,200,75,22,25,1263,110.8142857
15.1,530,115,30000000,19.5,78,7,102,8,14,31119.60562,200,75,22,25,1263.2,111.2857143
15.2,530,115,30000000,19.5,96,7,102,8,14,31119.60562,200,75,22,25,1263.4,111.7571429
15.3,530,115,30000000,19.5,19.5,7,102,8,14,35565.26357,200,75,22,25,1263.6,112.2285714
15.4,530,115,30000000,19.5,24,7,102,8,14,35565.26357,200,75,22,25,1263.8,112.7
15.5,530,115,30000000,19.5,39,7,102,8,14,35565.26357,200,75,22,25,1264,113.1714286
15.6,530,115,30000000,19.5,48,7,102,8,14,35565.26357,200,75,22,25,1264.2,113.6428571
15.7,530,115,30000000,19.5,58.5,7,102,8,14,35565.26357,200,75,22,25,1264.4,114.1142857
15.8,530,115,30000000,19.5,72,7,102,8,14,35565.26357,200,75,22,25,1264.6,114.5857143
15.9,530,115,30000000,19.5,78,7,102,8,14,35565.26357,200,75,22,25,1264.8,115.0571429
16,530,115,30000000,19.5,96,7,102,8,14,35565.26357,200,75,22,25,1265,115.5285714
16.1,530,115,30000000,19.5,19.5,7,102,8,14,40010.92151,200,75,22,25,1265.2,116
16.2,530,115,30000000,19.5,24,7,102,8,14,40010.92151,200,75,22,25,1265.4,116.4714286
16.3,530,115,30000000,19.5,39,7,102,8,14,40010.92151,200,75,22,25,1265.6,116.9428571
16.4,530,115,30000000,19.5,48,7,102,8,14,40010.92151,200,75,22,25,1265.8,117.4142857
16.5,530,115,30000000,19.5,58.5,7,102,8,14,40010.92151,200,75,22,25,1266,117.8857143
16.6,530,115,30000000,19.5,72,7,102,8,14,40010.92151,200,75,22,25,1266.2,118.3571429
16.7,530,115,30000000,19.5,78,7,102,8,14,40010.92151,200,75,22,25,1266.4,118.8285714
16.8,530,115,30000000,19.5,96,7,102,8,14,40010.92151,200,75,22,25,1266.6,119.3
16.9,530,115,30000000,19.5,19.5,7,102,8,14,44456.57946,200,75,22,25,1266.8,119.7714286
17,530,115,30000000,19.5,24,7,102,8,14,44456.57946,200,75,22,25,1267,120.2428571
17.1,530,115,30000000,19.5,39,7,102,8,14,44456.57946,200,75,22,25,1267.2,120.7142857
17.2,530,115,30000000,19.5,48,7,102,8,14,44456.57946,200,75,22,25,1267.4,121.1857143
17.3,530,115,30000000,19.5,58.5,7,102,8,14,44456.57946,200,75,22,25,1267.6,121.6571429
17.4,530,115,30000000,19.5,72,7,102,8,14,44456.57946,200,75,22,25,1267.8,122.1285714
17.5,530,115,30000000,19.5,78,7,102,8,14,44456.57946,200,75,22,25,1268,122.6
17.6,530,115,30000000,19.5,96,7,102,8,14,44456.57946,200,75,22,25,1268.2,123.0714286
17.7,530,115,30000000,19.5,19.5,7,102,8,14,48902.23741,200,75,22,25,1268.4,123.5428571
17.8,530,115,30000000,19.5,24,7,102,8,14,48902.23741,200,75,22,25,1268.6,124.0142857
17.9,530,115,30000000,19.5,39,7,102,8,14,48902.23741,200,75,22,25,1268.8,124.4857143
18,530,115,30000000,19.5,48,7,102,8,14,48902.23741,200,75,22,25,1269,124.9571429
18.1,530,115,30000000,19.5,58.5,7,102,8,14,48902.23741,200,75,22,25,1269.2,125.4285714
18.2,530,115,30000000,19.5,72,7,102,8,14,48902.23741,200,75,22,25,1269.4,125.9
18.3,530,115,30000000,19.5,78,7,102,8,14,48902.23741,200,75,22,25,1269.6,126.3714286
18.4,530,115,30000000,19.5,96,7,102,8,14,48902.23741,200,75,22,25,1269.8,126.8428571
18.5,530,115,30000000,19.5,19.5,7,102,8,14,53347.89535,200,75,22,25,1270,127.3142857
18.6,530,115,30000000,19.5,24,7,102,8,14,53347.89535,200,75,22,25,1270.2,127.7857143
18.7,530,115,30000000,19.5,39,7,102,8,14,53347.89535,200,75,22,25,1270.4,128.2571429
18.8,530,115,30000000,19.5,48,7,102,8,14,53347.89535,200,75,22,25,1270.6,128.7285714
18.9,530,115,30000000,19.5,58.5,7,102,8,14,53347.89535,200,75,22,25,1270.8,129.2
19,530,115,30000000,19.5,72,7,102,8,14,53347.89535,200,75,22,25,1271,129.6714286
19.1,530,115,30000000,19.5,78,7,102,8,14,53347.89535,200,75,22,25,1271.2,130.1428571
19.2,530,115,30000000,19.5,96,7,102,8,14,53347.89535,200,75,22,25,1271.4,130.6142857
19.3,530,115,30000000,19.5,19.5,7,102,8,14,23044.23362,200,75,22,25,1271.6,131.0857143
19.4,530,115,30000000,19.5,24,7,102,8,14,23044.23362,200,75,22,25,1271.8,131.5571429
19.5,530,115,30000000,19.5,39,7,102,8,14,23044.23362,200,75,22,25,1272,132.0285714
19.6,530,115,30000000,19.5,48,7,102,8,14,23044.23362,200,75,22,25,1272.2,132.5
19.7,530,115,30000000,19.5,58.5,7,102,8,14,23044.23362,200,75,22,25,1272.4,132.9714286
19.8,530,115,30000000,19.5,72,7,102,8,14,23044.23362,200,75,22,25,1272.6,133.4428571
19.9,530,115,30000000,19.5,78,7,102,8,14,23044.23362,200,75,22,25,1272.8,133.9142857
20,530,115,30000000,19.5,96,7,102,8,14,23044.23362,200,75,22,25,1273,134.3857143
20.1,530,115,30000000,19.5,19.5,7,102,8,14,27653.08035,200,75,22,25,1273.2,134.8571429
20.2,530,115,30000000,19.5,24,7,102,8,14,27653.08035,200,75,22,25,1273.4,135.3285714
20.3,530,115,30000000,19.5,39,7,102,8,14,27653.08035,200,75,22,25,1273.6,135.8
20.4,530,115,30000000,19.5,48,7,102,8,14,27653.08035,200,75,22,25,1273.8,136.2714286
20.5,530,115,30000000,19.5,58.5,7,102,8,14,27653.08035,200,75,22,25,1274,136.7428571
20.6,530,115,30000000,19.5,72,7,102,8,14,27653.08035,200,75,22,25,1274.2,137.2142857
20.7,530,115,30000000,19.5,78,7,102,8,14,27653.08035,200,75,22,25,1274.4,137.6857143
20.8,530,115,30000000,19.5,96,7,102,8,14,27653.08035,200,75,22,25,1274.6,138.1571429
20.9,530,115,30000000,19.5,19.5,7,102,8,14,32261.92707,200,75,22,25,1274.8,138.6285714
21,530,115,30000000,19.5,24,7,102,8,14,32261.92707,200,75,22,25,1275,139.1
21.1,530,115,30000000,19.5,39,7,102,8,14,32261.92707,200,75,22,25,1275.2,139.5714286
21.2,530,115,30000000,19.5,48,7,102,8,14,32261.92707,200,75,22,25,1275.4,140.0428571
21.3,530,115,30000000,19.5,58.5,7,102,8,14,32261.92707,200,75,22,25,1275.6,140.5142857
21.4,530,115,30000000,19.5,72,7,102,8,14,32261.92707,200,75,22,25,1275.8,140.9857143
21.5,530,115,30000000,19.5,78,7,102,8,14,32261.92707,200,75,22,25,1276,141.4571429
21.6,530,115,30000000,19.5,96,7,102,8,14,32261.92707,200,75,22,25,1276.2,141.9285714
21.7,530,115,30000000,19.5,19.5,7,102,8,14,36870.7738,200,75,22,25,1276.4,142.4
21.8,530,115,30000000,19.5,24,7,102,8,14,36870.7738,200,75,22,25,1276.6,142.8714286
21.9,530,115,30000000,19.5,39,7,102,8,14,36870.7738,200,75,22,25,1276.8,143.3428571
22,530,115,30000000,19.5,48,7,102,8,14,36870.7738,200,75,22,25,1277,143.8142857
22.1,530,115,30000000,19.5,58.5,7,102,8,14,36870.7738,200,75,22,25,1277.2,144.2857143
22.2,530,115,30000000,19.5,72,7,102,8,14,36870.7738,200,75,22,25,1277.4,144.7571429
22.3,530,115,30000000,19.5,78,7,102,8,14,36870.7738,200,75,22,25,1277.6,145.2285714
22.4,530,115,30000000,19.5,96,7,102,8,14,36870.7738,200,75,22,25,1277.8,145.7
22.5,530,115,30000000,19.5,19.5,7,102,8,14,41479.62052,200,75,22,25,1278,146.1714286
22.6,530,115,30000000,19.5,24,7,102,8,14,41479.62052,200,75,22,25,1278.2,146.6428571
22.7,530,115,30000000,19.5,39,7,102,8,14,41479.62052,200,75,22,25,1278.4,147.1142857
22.8,530,115,30000000,19.5,48,7,102,8,14,41479.62052,200,75,22,25,1278.6,147.5857143
22.9,530,115,30000000,19.5,58.5,7,102,8,14,41479.62052,200,75,22,25,1278.8,148.0571429
23,530,115,30000000,19.5,72,7,102,8,14,41479.62052,200,75,22,25,1279,148.5285714
23.1,530,115,30000000,19.5,78,7,102,8,14,41479.62052,200,75,22,25,1279.2,149
23.2,530,115,30000000,19.5,96,7,102,8,14,41479.62052,200,75,22,25,1279.4,149.4714286
23.3,530,115,30000000,19.5,19.5,7,102,8,14,46088.46725,200,75,22,25,1279.6,149.9428571
23.4,530,115,30000000,19.5,24,7,102,8,14,46088.46725,200,75,22,25,1279.8,150.4142857
23.5,530,115,30000000,19.5,39,7,102,8,14,46088.46725,200,75,22,25,1280,150.8857143
23.6,530,115,30000000,19.5,48,7,102,8,14,46088.46725,200,75,22,25,1280.2,151.3571429
23.7,530,115,30000000,19.5,58.5,7,102,8,14,46088.46725,200,75,22,25,1280.4,151.8285714
23.8,530,115,30000000,19.5,72,7,102,8,14,46088.46725,200,75,22,25,1280.6,152.3
23.9,530,115,30000000,19.5,78,7,102,8,14,46088.46725,200,75,22,25,1280.8,152.7714286
24,530,115,30000000,19.5,96,7,102,8,14,46088.46725,200,75,22,25,1281,153.2428571
24.1,530,115,30000000,19.5,19.5,7,102,8,14,50697.31397,200,75,22,25,1281.2,153.7142857
24.2,530,115,30000000,19.5,24,7,102,8,14,50697.31397,200,75,22,25,1281.4,154.1857143
24.3,530,115,30000000,19.5,39,7,102,8,14,50697.31397,200,75,22,25,1281.6,154.6571429
24.4,530,115,30000000,19.5,48,7,102,8,14,50697.31397,200,75,22,25,1281.8,155.1285714
24.5,530,115,30000000,19.5,58.5,7,102,8,14,50697.31397,200,75,22,25,1282,155.6
24.6,530,115,30000000,19.5,72,7,102,8,14,50697.31397,200,75,22,25,1282.2,156.0714286
24.7,530,115,30000000,19.5,78,7,102,8,14,50697.31397,200,75,22,25,1282.4,156.5428571
24.8,530,115,30000000,19.5,96,7,102,8,14,50697.31397,200,75,22,25,1282.6,157.0142857
24.9,530,115,30000000,19.5,19.5,7,102,8,14,55306.1607,200,75,22,25,1282.8,157.4857143
25,530,115,30000000,19.5,24,7,102,8,14,55306.1607,200,75,22,25,1283,157.9571429
25.1,530,115,30000000,19.5,39,7,102,8,14,55306.1607,200,75,22,25,1283.2,158.4285714
25.2,530,115,30000000,19.5,48,7,102,8,14,55306.1607,200,75,22,25,1283.4,158.9
25.3,530,115,30000000,19.5,58.5,7,102,8,14,55306.1607,200,75,22,25,1283.6,159.3714286
25.4,530,115,30000000,19.5,72,7,102,8,14,55306.1607,200,75,22,25,1283.8,159.8428571
25.5,530,115,30000000,19.5,78,7,102,8,14,55306.1607,200,75,22,25,1284,160.3142857
25.6,530,115,30000000,19.5,96,7,102,8,14,55306.1607,200,75,22,25,1284.2,160.7857143
25.7,530,115,30000000,19.5,19.5,7,102,8,14,23860.17752,200,75,22,25,1284.4,161.2571429
25.8,530,115,30000000,19.5,24,7,102,8,14,23860.17752,200,75,22,25,1284.6,161.7285714
25.9,530,115,30000000,19.5,39,7,102,8,14,23860.17752,200,75,22,25,1284.8,162.2
26,530,115,30000000,19.5,48,7,102,8,14,23860.17752,200,75,22,25,1285,162.6714286
26.1,530,115,30000000,19.5,58.5,7,102,8,14,23860.17752,200,75,22,25,1285.2,163.1428571
26.2,530,115,30000000,19.5,72,7,102,8,14,23860.17752,200,75,22,25,1285.4,163.6142857
26.3,530,115,30000000,19.5,78,7,102,8,14,23860.17752,200,75,22,25,1285.6,164.0857143
26.4,530,115,30000000,19.5,96,7,102,8,14,23860.17752,200,75,22,25,1285.8,164.5571429
26.5,530,115,30000000,19.5,19.5,7,102,8,14,28632.21302,200,75,22,25,1286,165.0285714
26.6,530,115,30000000,19.5,24,7,102,8,14,28632.21302,200,75,22,25,1286.2,165.5
26.7,530,115,30000000,19.5,39,7,102,8,14,28632.21302,200,75,22,25,1286.4,165.9714286
26.8,530,115,30000000,19.5,48,7,102,8,14,28632.21302,200,75,22,25,1286.6,166.4428571
26.9,530,115,30000000,19.5,58.5,7,102,8,14,28632.21302,200,75,22,25,1286.8,166.9142857
27,530,115,30000000,19.5,72,7,102,8,14,28632.21302,200,75,22,25,1287,167.3857143
27.1,530,115,30000000,19.5,78,7,102,8,14,28632.21302,200,75,22,25,1287.2,167.8571429
27.2,530,115,30000000,19.5,96,7,102,8,14,28632.21302,200,75,22,25,1287.4,168.3285714
